"id","submitdate","lastpage","startlanguage","INSTRUKCJA","DUZYLOTEK","MULTILOTEK","MULTIMULTI","PRIMHARMPRIMSCENARIO","PRIMHARMPRIMSUWAK[1]","PRIMHARMPRIMSUWAK[2]","PRIMHARMPRIMSUWAK[3]","PRIMHARMPRIMSUWAK[4]","PRIMHARMPRIMSUWAK[5]","PRIMHARMBISSCENARIO","PRIMHARMPRIMSUWAKI[1]","PRIMHARMPRIMSUWAKI[2]","PRIMHARMPRIMSUWAKI[3]","PRIMHARMPRIMSUWAKI[4]","PRIMHARMPRIMSUWAKI[5]","PRIMHELPPRIMSCENARIO","PRIMHELPPRIMSUWAKI[1]","PRIMHELPPRIMSUWAKI[2]","PRIMHELPPRIMSUWAKI[3]","PRIMHELPPRIMSUWAKI[4]","PRIMHELPPRIMSUWAKI[5]","PRIMHELPBISSCENARIO","PRIMHELPBISSUWAKI[1]","PRIMHELPBISSUWAKI[2]","PRIMHELPBISSUWAKI[3]","PRIMHELPBISSUWAKI[4]","PRIMHELPBISSUWAKI[5]","PRIMHARMPRIMSCENARIO","BISHARMPRIMSUWAKI[1]","BISHARMPRIMSUWAKI[2]","BISHARMPRIMSUWAKI[3]","BISHARMPRIMSUWAKI[4]","BISHARMPRIMSUWAKI[5]","PRIMHARMBISSCENARIO","BISHARMBISSUWAKI[1]","BISHARMBISSUWAKI[2]","BISHARMBISSUWAKI[3]","BISHARMBISSUWAKI[4]","BISHARMBISSUWAKI[5]","PRIMHELPPRIMSCENARIO","BISHELPPRIMSUWAKI[1]","BISHELPPRIMSUWAKI[2]","BISHELPPRIMSUWAKI[3]","BISHELPPRIMSUWAKI[4]","BISHELPPRIMSUWAKI[5]","PRIMHELPBISSCENARIO","BISHELPBISSUWAKI[1]","BISHELPBISSUWAKI[2]","BISHELPBISSUWAKI[3]","BISHELPBISSUWAKI[4]","BISHELPBISSUWAKI[5]","PRIMHARMPRIMSCENARIO","AGENCYHARMPRIM[1]","AGENCYHARMPRIM[2]","AGENCYHARMPRIM[3]","AGENCYHARMPRIM[4]","AGENCYHARMPRIM[5]","PRIMHARMBISSCENARIO","AGENCYHARMBIS[1]","AGENCYHARMBIS[2]","AGENCYHARMBIS[3]","AGENCYHARMBIS[4]","AGENCYHARMBIS[5]","PRIMHELPPRIMSCENARIO","AGENCYHELPPRIM[1]","AGENCYHELPPRIM[2]","AGENCYHELPPRIM[3]","AGENCYHELPPRIM[4]","AGENCYHELPPRIM[5]","PRIMHELPBISSCENARIO","AGENCYHELPBIS[1]","AGENCYHELPBIS[2]","AGENCYHELPBIS[3]","AGENCYHELPBIS[4]","AGENCYHELPBIS[5]","PRIMHARMPRIMSCENARIO","PRIMHARMPRIMSUWAK[1]","PRIMHARMPRIMSUWAK[2]","PRIMHARMPRIMSUWAK[3]","PRIMHARMPRIMSUWAK[4]","PRIMHARMPRIMSUWAK[5]","PRIMHARMBISSCENARIO","PRIMHARMPRIMSUWAKI[1]","PRIMHARMPRIMSUWAKI[2]","PRIMHARMPRIMSUWAKI[3]","PRIMHARMPRIMSUWAKI[4]","PRIMHARMPRIMSUWAKI[5]","PRIMHELPPRIMSCENARIO","PRIMHELPPRIMSUWAKI[1]","PRIMHELPPRIMSUWAKI[2]","PRIMHELPPRIMSUWAKI[3]","PRIMHELPPRIMSUWAKI[4]","PRIMHELPPRIMSUWAKI[5]","PRIMHELPBISSCENARIO","PRIMHELPBISSUWAKI[1]","PRIMHELPBISSUWAKI[2]","PRIMHELPBISSUWAKI[3]","PRIMHELPBISSUWAKI[4]","PRIMHELPBISSUWAKI[5]","PRIMHARMPRIMSCENARIO","BISHARMPRIMSUWAKI[1]","BISHARMPRIMSUWAKI[2]","BISHARMPRIMSUWAKI[3]","BISHARMPRIMSUWAKI[4]","BISHARMPRIMSUWAKI[5]","PRIMHARMBISSCENARIO","BISHARMBISSUWAKI[1]","BISHARMBISSUWAKI[2]","BISHARMBISSUWAKI[3]","BISHARMBISSUWAKI[4]","BISHARMBISSUWAKI[5]","PRIMHELPPRIMSCENARIO","BISHELPPRIMSUWAKI[1]","BISHELPPRIMSUWAKI[2]","BISHELPPRIMSUWAKI[3]","BISHELPPRIMSUWAKI[4]","BISHELPPRIMSUWAKI[5]","PRIMHELPBISSCENARIO","BISHELPBISSUWAKI[1]","BISHELPBISSUWAKI[2]","BISHELPBISSUWAKI[3]","BISHELPBISSUWAKI[4]","BISHELPBISSUWAKI[5]","INTHARMPRIM1","INTHARMBIS","INTHELPPRIM","INTHELPBIS","INTHARMPRIM2","INTHARMBIS2","INTHELPPRIM2","INTHELPBIS2","KRUKIWRONY","PRIMKRUKIWRONYSUWAKI[1]","PRIMKRUKIWRONYSUWAKI[2]","PRIMKRUKIWRONYSUWAKI[3]","PRIMKRUKIWRONYSUWAKI[4]","PRIMKRUKIWRONYSUWAKI[5]","BISKRUKIWRONY","BISKRUKIWRONYSUWAKI[1]","BISKRUKIWRONYSUWAKI[2]","BISKRUKIWRONYSUWAKI[3]","BISKRUKIWRONYSUWAKI[4]","BISKRUKIWRONYSUWAKI[5]","PRIMNOTKRUKIWRONY","PRIMNOTKRUKIWRONYSUW[1]","PRIMNOTKRUKIWRONYSUW[2]","PRIMNOTKRUKIWRONYSUW[3]","PRIMNOTKRUKIWRONYSUW[4]","PRIMNOTKRUKIWRONYSUW[5]","BISNOTKRUKIWRONY","BISNOTKRUKIWRONYSUWA[1]","BISNOTKRUKIWRONYSUWA[2]","BISNOTKRUKIWRONYSUWA[3]","BISNOTKRUKIWRONYSUWA[4]","BISNOTKRUKIWRONYSUWA[5]","AGENCYKRUKIWRONY","AGENCYKRUKIWRONYPYT[1]","AGENCYKRUKIWRONYPYT[2]","AGENCYKRUKIWRONYPYT[3]","AGENCYKRUKIWRONYPYT[4]","AGENCYKRUKIWRONYPYT[5]","AGENCYNOTKRUKIWRONY","AGENCYNOTKRUKIWRONNY[1]","AGENCYNOTKRUKIWRONNY[2]","AGENCYNOTKRUKIWRONNY[3]","AGENCYNOTKRUKIWRONNY[4]","AGENCYNOTKRUKIWRONNY[5]","KRUKIWRONY","PRIMKRUKIWRONYSUWAKI[1]","PRIMKRUKIWRONYSUWAKI[2]","PRIMKRUKIWRONYSUWAKI[3]","PRIMKRUKIWRONYSUWAKI[4]","PRIMKRUKIWRONYSUWAKI[5]","BISKRUKIWRONY","BISKRUKIWRONYSUWAKI[1]","BISKRUKIWRONYSUWAKI[2]","BISKRUKIWRONYSUWAKI[3]","BISKRUKIWRONYSUWAKI[4]","BISKRUKIWRONYSUWAKI[5]","PRIMNOTKRUKIWRONY","PRIMNOTKRUKIWRONYSUW[1]","PRIMNOTKRUKIWRONYSUW[2]","PRIMNOTKRUKIWRONYSUW[3]","PRIMNOTKRUKIWRONYSUW[4]","PRIMNOTKRUKIWRONYSUW[5]","BISNOTKRUKIWRONY","BISNOTKRUKIWRONYSUWA[1]","BISNOTKRUKIWRONYSUWA[2]","BISNOTKRUKIWRONYSUWA[3]","BISNOTKRUKIWRONYSUWA[4]","BISNOTKRUKIWRONYSUWA[5]","INTENCJONALNIEKW1","INTENCJONALNIEKW2","INTNOTKW1","INTNOTKW2","G","Y","E","E[other]","F"
"29","1980-01-01 00:00:00","45","pl","","2","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nie zgadzam się.","Nie zgadzam się.","Nie zgadzam się.","Nie zgadzam się.","Nie zgadzam się.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","N/A","N/A","N/A","Nie","N/A","N/A","N/A","Nie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","Mężczyzna","1959.0000000000","Podstawowe","","Nie"
"34","1980-01-01 00:00:00","45","pl","","2","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Zgadzam się.","Zgadzam się.","Zgadzam się.","Zgadzam się.","Zgadzam się.","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","N/A","N/A","Tak","Tak","Mężczyzna","1977.0000000000","Doktorat, habilitacja lub wyższy stopień naukowy","","Tak"
"36","1980-01-01 00:00:00","45","pl","","2","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nie zgadzam się.","Zgadzam się.","Zgadzam się.","Zgadzam się.","Zgadzam się.","","","","","","","","","","","","","","1","1","2","3","2","","","","","","","N/A","N/A","Tak","Tak","Kobieta","1976.0000000000","Średnie","","Nie"
"38","1980-01-01 00:00:00","45","pl","","1","1","1","","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Zgadzam się.","Zgadzam się.","Zgadzam się.","Zgadzam się.","Zgadzam się.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tak","N/A","N/A","N/A","Nie","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","Kobieta","1970.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie"
"41","1980-01-01 00:00:00","45","pl","","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nie zgadzam się.","Nie zgadzam się.","Nie zgadzam się.","Nie zgadzam się.","Nie zgadzam się.","","","","","","","","","","","","","","","","","","","","3","2","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nie","N/A","N/A","N/A","Nie","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","Kobieta","1978.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie"
"42","1980-01-01 00:00:00","45","pl","","2","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Zgadzam się.","Zgadzam się.","Zgadzam się.","Zgadzam się.","Zgadzam się.","","","","","","","","","","","","","","","","","","","","4","3","4","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","Nie","N/A","N/A","N/A","Nie","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","Kobieta","27.0000000000","Wyższe (licencjat, magister, inżynier)","","Tak"
"45","1980-01-01 00:00:00","45","pl","","2","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","Nie zgadzam się.","Nie zgadzam się.","Zgadzam się.","Zgadzam się.","Zgadzam się.","","","","","","","","","","","","","","3","1","3","4","3","","","","","","","","","","","","","Nie","Tak","N/A","N/A","Kobieta","1988.0000000000","Wyższe (licencjat, magister, inżynier)","","Tak"
"44","1980-01-01 00:00:00","45","pl","","1","6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","4","4","0","2","4","","","","","","","","Zgadzam się.","Zgadzam się.","Nie zgadzam się.","Zgadzam się.","Zgadzam się.","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","Tak","Tak","Kobieta","1974.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie"
"47","1980-01-01 00:00:00","45","pl","","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","Nie zgadzam się.","Nie zgadzam się.","Nie zgadzam się.","Zgadzam się.","Zgadzam się.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","Nie","N/A","N/A","N/A","Tak","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","Mężczyzna","1983.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie"
"50","1980-01-01 00:00:00","45","pl","","2","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Zgadzam się.","Zgadzam się.","Nie zgadzam się.","Nie zgadzam się.","Nie zgadzam się.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","3","1","3","N/A","N/A","N/A","Nie","N/A","N/A","N/A","Nie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","Kobieta","1953.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie"
